start_date,end_date,total_tasks,total_estimated_hours,completion_rate,sprint_successful
2023-10-08,2023-10-14,10,75,0.7310407791748591,1
2023-10-15,2023-10-21,15,72,0.5850195506771236,1
2023-10-22,2023-10-28,10,79,0.5171639951416058,0
2023-10-29,2023-11-04,17,75,0.8988879206399856,0
2023-11-05,2023-11-11,15,97,0.9705965473108062,1
2023-11-12,2023-11-18,6,63,0.7847092950791428,0
2023-11-19,2023-11-25,16,63,0.9039334965075161,1
2023-11-26,2023-12-02,17,44,0.7785975329506643,1
2023-12-03,2023-12-09,14,69,0.6023175219839711,1
2023-12-10,2023-12-16,10,53,0.9538374066806383,0
2023-12-17,2023-12-23,14,60,0.6367263176345528,1
2023-12-24,2023-12-30,16,98,0.8982061468697954,1
2023-12-31,2024-01-06,9,83,0.6158324571047582,1
2024-01-07,2024-01-13,11,40,0.5111828729903029,0
2024-01-14,2024-01-20,8,43,0.8012357472275722,0
2024-01-21,2024-01-27,6,46,0.5899965992374063,1
2024-01-28,2024-02-03,15,94,0.9001990906865736,1
2024-02-04,2024-02-10,19,45,0.8484527981300996,1
2024-02-11,2024-02-17,14,41,0.5198847731754606,0
2024-02-18,2024-02-24,8,71,0.5331281524742755,0
2024-02-25,2024-03-02,19,70,0.7916808330971675,1
2024-03-03,2024-03-09,5,96,0.8350313090800048,1
2024-03-10,2024-03-16,8,75,0.8561692763762775,0
2024-03-17,2024-03-23,12,71,0.8518074254623553,1
2024-03-24,2024-03-30,14,68,0.5043860533031803,1
2024-03-31,2024-04-06,14,46,0.5136700044662378,1
2024-04-07,2024-04-13,10,91,0.660234934793904,1
2024-04-14,2024-04-20,9,73,0.936678210538322,1
2024-04-21,2024-04-27,16,76,0.7085006024334001,1
2024-04-28,2024-05-04,17,74,0.7150038929956115,1
2024-05-05,2024-05-11,10,52,0.9240589316244661,0
2024-05-12,2024-05-18,19,84,0.8370763843905258,1
2024-05-19,2024-05-25,15,99,0.645448215402282,0
2024-05-26,2024-06-01,7,80,0.9485400987003052,0
2024-06-02,2024-06-08,8,59,0.6062207105286818,0
2024-06-09,2024-06-15,13,73,0.9630297151288318,1
2024-06-16,2024-06-22,13,87,0.978939420379958,1
2024-06-23,2024-06-29,10,82,0.6350796054642747,0
2024-06-30,2024-07-06,8,74,0.8534428037855477,1
2024-07-07,2024-07-13,15,57,0.7509829517085416,1
2024-07-14,2024-07-20,15,72,0.5841307331310768,0
2024-07-21,2024-07-27,19,96,0.6548965158020982,1
2024-07-28,2024-08-03,11,89,0.8368390358584303,1
2024-08-04,2024-08-10,11,59,0.5431711601397824,1
2024-08-11,2024-08-17,10,77,0.8030665852807364,0
2024-08-18,2024-08-24,17,97,0.8305812864845309,1
2024-08-25,2024-08-31,5,88,0.9771859002869109,0
2024-09-01,2024-09-07,10,60,0.5800430168557231,1
2024-09-08,2024-09-14,10,97,0.7423627607128751,0
2024-09-15,2024-09-21,14,79,0.56312264640656,1
2024-09-22,2024-09-28,18,65,0.5491521330387391,0
2024-09-29,2024-10-05,6,70,0.6024383305694219,0
2024-10-06,2024-10-12,9,78,0.8970139419379611,1
2024-10-13,2024-10-19,7,41,0.7705713335494682,1
2024-10-20,2024-10-26,9,78,0.8073808268813517,0
2024-10-27,2024-11-02,14,61,0.6708505527066984,1
2024-11-03,2024-11-09,9,71,0.6311527180740639,1
2024-11-10,2024-11-16,10,99,0.5180271173585285,0
2024-11-17,2024-11-23,7,52,0.5952454390472186,1
2024-11-24,2024-11-30,8,69,0.6815161855996106,0
